Titre;Chapô
L’homme d’affaires Stérin réitère vouloir être entendu par les députés via visoconférence ;Viendra? Viendra pas? Après avoir manqué une première convocation d’une commission parlementaire la semaine dernière, l’homme d’affaires Pierre-Édouard Stérin a réitéré vouloir être entendu par visioconférence mardi, le président de cette commission réclamant qu’il se présente en personne.
Gaza : 22 pays exigent d’Israël une « reprise complète de l’aide, immédiatement » ;Vingt-deux pays, dont la France, l’Allemagne, le Royaume-Uni, le Canada, le Japon et l’Australie, ont exigé lundi d’Israël une « reprise complète de l’aide à la bande de Gaza, immédiatement », demandant qu’elle soit organisée par les Nations unies et les ONG.
Incendie mortel à Courchevel: l’accusé clame son innocence ;L’incendie avait coûté la vie à deux saisonniers dans la station de ski de Courchevel en 2019: jugé depuis lundi pour avoir volontairement mis le feu à leur résidence, Hicham Abderraouf va tenter de convaincre la cour d’assises qu’il est « innocent ».
Vingt ans de prison pour un père accusé d’avoir poussé sa fille du pont de Saint-Nazaire ;Un père de famille a été condamné lundi par la cour d’assises de Loire-Atlantique à vingt ans de prison pour avoir tué sa fille de 18 ans en la projetant du haut du pont de Saint-Nazaire en juin 2022.
Au procès Le Scouarnec, les instances médicales se défaussent ;Comment Joël Le Scouarnec, condamné dès 2005 pour infraction pédocriminelle, a-t-il pu continuer à être chirurgien et à faire impunément des victimes ? D’anciens responsables des institutions médicales ont été pressés de questions lundi par la cour criminelle du Morbihan, peinant à reconnaître une part de responsabilité de leurs institutions.
Qualité ou durée de vie restants: les députés débattent des conditions de l’aide à mourir ;Les députés ont écarté lundi la seule notion de temps restant à vivre pour déterminer si un malade pourra bénéficier de l’aide à mourir, retenant à l’inverse une définition de « phase avancée » ou « terminale » d’une maladie.
Le Venezuela suspend les vols avec la Colombie, dénonçant l’infiltration de « mercenaires » ;Le ministre vénézuélien de l’Intérieur Diosdado Cabello a annoncé lundi la suspension des vols en provenance de Colombie, dénonçant l’arrivée de « mercenaires » depuis ce pays voisin, avant les élections législatives et régionales de dimanche.
Le créateur Pierpaolo Piccioli nommé directeur artistique de Balenciaga ;L’Italien Pierpaolo Piccioli va devenir en juillet directeur artistique de la maison Balenciaga et prendre la suite de Demna, dont le départ chez Gucci, une autre maison du groupe Kering, a été annoncé en mars.
Gaza: neuf camions d’aide autorisés lundi, « une goutte d’eau dans l’océan », selon l’ONU ;Neuf camions d’aide humanitaire des Nations unies ont été autorisés à entrer lundi dans la bande de Gaza, a annoncé le chef des opérations humanitaires de l’ONU, parlant d’une « goutte d’eau dans l’océan » après 11 semaines de blocage.
Marginal tué puis découpé dans l’Aveyron: « on était disjoncté de la réalité », dit un accusé ;Accusé d’avoir séquestré, tué, puis découpé le cadavre d’une de ses connaissances qui vivait isolée dans l’Aveyron, un pizzaïolo de 58 ans a expliqué qu’il « était disjoncté de la réalité », selon une experte psychologue qui témoignait lundi à Rodez au procès de cette affaire devant les assises.
Incendies visant des propriétés liées à Starmer : un troisième homme arrêté ;Un troisième homme a été arrêté dans l’enquête sur des incendies criminels ayant visé des propriétés liées au Premier ministre britannique Keir Starmer, a annoncé lundi la police londonienne.
Transport sanitaire, VTC: des milliers de taxis manifestent en France ;Plusieurs milliers de taxis ont manifesté lundi à travers la France, à Pau, Amiens, Paris ou Bastia pour protester contre les nouvelles conditions tarifaires du transport sanitaire et la concurrence des VTC.
Foot: le Ballon d’Or 2025 sera décerné le 22 septembre ;Le Ballon d’Or 2025 sera décerné le 22 septembre à Paris, a annoncé lundi le magazine France Football, créateur et organisateur du plus prestigieux trophée individuel de la discipline.
Trump parle à Poutine pour pousser à un cessez-le-feu en Ukraine ;Donald Trump s’est entretenu lundi avec Vladimir Poutine au téléphone avec l’objectif, a dit le président américain, de « mettre fin au bain de sang » en Ukraine, après des pourparlers infructueux entre Kiev et Moscou la semaine dernière.
Islamisme et antisémitisme: Paris va demander à Bruxelles de « renforcer le contrôle » des financements ;Le ministre français chargé de l’Europe Benjamin Haddad a annoncé lundi qu’il allait demander à Bruxelles de « renforcer le contrôle » des financements européens pour qu’ils n’aillent pas à des acteurs « liés à l’antisémitisme ou à l’islamisme ».
Un migrant décède dans la Manche, 200 autres personnes secourues depuis dimanche ;Une personne qui tentait de rejoindre clandestinement la Grande-Bretagne est morte dans la nuit de dimanche à lundi, et 200 autres migrants ont été secourus depuis dimanche, selon la préfecture maritime de la Manche et de la mer du Nord.
Le 8e sommet Choose France bat un record d’investissements et avance dans l’IA ;Centres de données, banque en ligne, bateaux de croisière: le 8e sommet Choose France lundi, évènement destiné à attirer les investissements étrangers en France, a battu un nouveau record avec 20 milliards d’euros de projets annoncés sous les ors du château de Versailles.
Îlots disputés: la CIJ donne raison à la Guinée équatoriale face au Gabon ;La Cour internationale de justice (CIJ), plus haute juridiction de l’ONU, a donné raison lundi à la Guinée équatoriale dans un litige qui l’oppose depuis des décennies au Gabon au sujet de trois petites îles situées dans des eaux potentiellement riches en pétrole.
Israël veut prendre le contrôle de toute la bande de Gaza ;Israël a annoncé lundi son intention de prendre le contrôle de toute la bande de Gaza, où des dizaines de Palestiniens ont été tués dans des raids israéliens et des camions d’aide sont entrés pour la première fois en plus de deux mois.
A69: avis favorable à la reprise des travaux du rapporteur public de la cour administrative d’appel de Toulouse ;Le rapporteur public recommande à la cour d’appel administrative de Toulouse d’ordonner la reprise du chantier de l’A69, au grand dam des opposants à ce projet d’autoroute Castres-Toulouse qui avaient obtenu fin février la suspension des travaux.
Le Conseil d’État lève l’interdiction des activités « ludiques » en prison ;Les activités « ludiques » pourront reprendre en prison, a décidé lundi le Conseil d’État en annulant une mesure d’interdiction prise en février par le garde des Sceaux Gérald Darmanin, qui avait suscité des critiques.
Gaza: Israël annonce le passage de camions avec de la nourriture pour bébés ;Israël a laissé passer lundi des camions transportant de la nourriture pour bébés à Gaza, a indiqué la diplomatie israélienne après l’annonce par le Premier ministre Benjamin Netanyahu qu’une petite quantité d’aide serait autorisée après plus de deux mois de blocus.
Au procès Le Scouarnec, les « loupés » des instances médicales scrutés de près ;D’anciens cadres d’institutions hospitalières témoignent lundi à Vannes devant la cour criminelle du Morbihan, qui s’interroge sur les dysfonctionnements ayant permis à Joël Le Scouarnec de poursuivre, pendant plus d’une décennie, sa carrière de chirurgien malgré une première condamnation pour pédocriminalité en 2005.
Arrestation au Salvador d’une avocate défendant les migrants et critique du président Bukele ;L’ONG de défense des droits humains Cristosal, qui vient en aide aux familles de 252 migrants vénézuéliens emprisonnés au Salvador après leur expulsion des États-Unis, a annoncé l’arrestation de sa dirigeante, Ruth Eleonora Lopez dimanche dans la soirée.
Cold case: trente ans requis contre l’accusé du viol et meurtre en 1995 de Katell Berrehouc ;Trente ans de réclusion criminelle ont été requis lundi à Pontoise (Val-d’Oise) contre l’homme accusé d’avoir violé et tué Katell Berrehouc en 1995, un « cold case » jugé trente ans après le meurtre grâce à des analyses ADN incriminantes.
En Tanzanie, le chef de l’opposition combatif devant la justice, son audition reportée ;« Nous parviendrons à nos fins » : le chef de l’opposition tanzanienne Tundu Lissu s’est montré combatif lundi devant un tribunal de Dar es Salaam où il comparaissait pour « trahison », une accusation passible de la peine capitale, avant que son audition ne soit repoussée en juin.
Corée du Sud : un homme arrêté après avoir poignardé quatre personnes, dont deux mortellement ;La police sud-coréenne a annoncé lundi qu’un homme avait été arrêté après avoir poignardé quatre personnes, dont deux mortellement.
Le Royaume-Uni a convoqué l’ambassadeur d’Iran après l’inculpation d’Iraniens pour espionnage ;Le Royaume-Uni a convoqué lundi l’ambassadeur d’Iran, Seyed Ali Mousavi, à la suite de l’inculpation à Londres de trois ressortissants iraniens pour espionnage au profit de Téhéran, a annoncé le ministère britannique des affaires étrangères.
Joe Biden remercie ses soutiens pour leur « amour » après l’annonce de son cancer ;L’ex-président américain Joe Biden a remercié lundi ses soutiens pour l’« amour » reçu après l’annonce de son cancer la veille, au moment où des alliés de Donald Trump sèment le doute sur une possible dissimulation par son entourage de ses soucis de santé.
Interdiction des activités ludiques en prison: le Conseil d’Etat désavoue Gérald Darmanin ;Le Conseil d’Etat a annulé lundi l’interdiction de toute activité « ludique » en prison, annoncée dans une circulaire par le ministre de la Justice, Gérald Darmanin.
Vérification de l’âge des ados: Snapchat renvoie la balle aux magasins d’applications ;Face aux pressions politiques pour vérifier l’âge des adolescents sur les réseaux sociaux en France, Snapchat pousse pour que cette mesure s’effectue au niveau des magasins d’application, gérés notamment par Apple et Google, a indiqué lundi à l’AFP son directeur général France.
Démissionnaire malgré lui, l’élu de Moselle a obtenu gain de cause ;Il avait « démissionné » contre son gré: un élu d’un village de Moselle victime d’une fausse lettre de démission pourra réintégrer le conseil municipal, a tranché lundi le tribunal administratif de Strasbourg.
Le 8e sommet Choose France bat un record d’investissements et concrétise des projets dans l’IA ;Centres de données, banque en ligne, bateaux de croisière: le 8e sommet Choose France lundi, évènement destiné à attirer les investissements étrangers en France, va battre un nouveau record cette année avec 20 milliards d’euros de projets nouveaux annoncés sous les ors du château de Versailles.
L’extrême droite portugaise franchit un nouveau palier ;L’extrême droite a franchi un cap au Portugal en dépassant la barre des 20% aux élections législatives, et se retrouve lundi en position de diriger l’opposition au gouvernement de droite modérée de Luis Montenegro, reconduit sans majorité stable après une année au pouvoir.
Ukraine: appel Trump-Poutine à venir, nouvelle tentative pour pousser à un cessez-le-feu ;Donald Trump et Vladimir Poutine doivent s’entretenir au téléphone lundi à 14H00 GMT avec l’objectif de « mettre fin au bain de sang » en Ukraine, selon les mots du président américain, après des pourparlers infructueux entre Kiev et Moscou en Turquie en fin de semaine dernière.
Marc-Olivier Fogiel revient sur RTL, dans la matinale ;Après avoir dirigé la chaîne BFMTV pendant cinq ans, Marc-Olivier Fogiel va faire son retour derrière un micro, celui de la radio RTL, où il mènera une interview quotidienne dans la matinale la saison prochaine, a annoncé lundi la station.
Joe Biden remercie ses soutiens pour l’« amour » reçu après l’annonce de son cancer ;Joe Biden a remercié lundi dans un message sur X ses soutiens pour l’« amour » reçu après l’annonce la veille de son cancer de la prostate.
Le Royaume-Uni et l’UE concluent un « nouveau partenariat stratégique », cinq ans après le Brexit ;Le Royaume-Uni et l’Union européenne ont conclu lundi un « nouveau partenariat stratégique » pour resserrer les liens, en particulier dans la défense, lors d’un sommet inédit depuis le Brexit il y a cinq ans.
UE: accord de principe pour financer des projets communs d’armement (diplomates) ;Les pays de l’Union européenne ont conclu lundi un accord de principe pour faciliter leurs achats en commun d’armement, dans le cadre d’un programme européen doté de quelque 150 milliards d’euros, ont indiqué des diplomates à Bruxelles.
Génocide des Tutsi au Rwanda: fin des investigations visant Agathe Habyarimana, sans mise en examen ;Les investigations contre Agathe Habyarimana pour son éventuel rôle lors du génocide des Tutsi au Rwanda en 1994 sont closes, sans que la veuve de l’ancien président hutu rwandais n’ait été mise en examen, les juges ayant conclu que les témoignages à charge étaient « contradictoires, incohérents voire mensongers ».
Israël devrait être exclu de l’Eurovision, affirme le Premier ministre espagnol ;Le Premier ministre espagnol Pedro Sánchez a affirmé lundi qu’Israël devrait être exclu de l’Eurovision, le plus grand télé-crochet du monde, estimant qu’il fallait être « solidaire du peuple de Palestine qui (vit) l’absurdité de la guerre et des bombardements »
Le maire pro-européen de Varsovie remporte de justesse le premier tour de la présidentielle polonaise ;Le maire pro-UE de Varsovie, Rafal Trzaskowski, a remporté de justesse le premier tour de l’élection présidentielle polonaise, mais il sera confronté à une lutte difficile après que les candidats de droite et d’extrême droite ont remporté la majorité des voix, font valoir lundi les analystes.
Ukraine : Berlin souligne la « responsabilité » de la Chine concernant la « paix mondiale » ;« La Chine a une responsabilité » concernant « la paix mondiale », a souligné lundi la diplomatie allemande qui mentionne explicitement la guerre en Ukraine, en pleine intensification des efforts des Occidentaux pour amener Moscou à un cessez-le-feu.
Roumanie: soulagement du camp pro-européen mais pas d’état de grâce ;L’heure est au soulagement lundi dans le camp pro-européen en Roumanie au lendemain de la défaite du candidat nationaliste à la présidentielle, mais le vainqueur Nicusor Dan a désormais la lourde tâche de rassembler un pays meurtri.
Semaine cruciale à l’OMS dans un contexte de restrictions budgétaires ;L’accord historique sur la prévention et la lutte contre les pandémies est soumis cette semaine à l’adoption par les Etats membres de l’Organisation mondiale de la santé dans un contexte de fortes restrictions budgétaires.
Londres et l’UE s’accordent pour réduire les contrôles sur la nourriture et les végétaux ;L’Union européenne et le Royaume-Uni se sont entendus pour réduire les contrôles sur la nourriture et les végétaux dans leurs futurs échanges, demande majeure de Londres dans le cadre de l’accord conclu lundi pour relancer leurs relations diplomatiques et commerciales.
Le Royaume-Uni et l’UE saluent une « nouvelle ère » dans leurs relations post-Brexit ;Le Royaume-Uni et l’Union européenne ont ouvert lundi une « nouvelle ère » dans leurs relations, avec un accord visant à resserrer les liens, lors d’un sommet inédit depuis le Brexit il y a cinq ans.
Plusieurs milliers de taxis manifestent en France ;Plusieurs milliers de taxis manifestaient lundi à travers la France, à Pau, Lorient, Paris ou Bastia pour protester contre les nouvelles conditions tarifaires du transport sanitaire et la concurrence des VTC.
Ukraine: appel Trump-Poutine lundi, nouvelle tentative pour « mettre fin au bain de sang » ;Donald Trump et Vladimir Poutine doivent s’entretenir lundi au téléphone avec l’objectif de « mettre fin au bain de sang » en Ukraine, selon les mots du président américain, après des pourparlers infructueux entre Kiev et Moscou en Turquie en fin de semaine.
La Russie interdit l’ONG Amnesty International, déclarée « indésirable » ;Le parquet général russe a déclaré lundi « indésirable » l’ONG de défense des droits humains Amnesty International, une mesure qui interdit ses activités en Russie, en pleine répression de la société civile et de toute voix critique dans le pays depuis le début de l’offensive en Ukraine.
Gaza: « deux millions de personnes sont affamées », selon le chef de l’OMS ;Le chef de l’Organisation mondiale de la santé (OMS) s’est alarmé lundi du risque de famine qui augmente dans la bande de Gaza où « deux millions de personnes affamées » selon lui.
Indonésie: 6 morts dans une mine après des inondations, 14 disparus ;Des inondations suivies d’un glissement de terrain près d’une mine d’or dans l’est de l’Indonésie ont fait au moins six morts et près d’une quinzaine de disparus, ont indiqué lundi les autorités.
Ukraine: le Danemark a eu « conversation franche » avec Pékin sur son soutien « problématique » à la Russie ;Le ministre danois des Affaires étrangères a eu une « conversation franche » avec son homologue chinois sur le soutien « problématique » de Pékin à la Russie dans la guerre en Ukraine, a-t-il indiqué lundi à l’occasion d’un déplacement en Chine.
Déficit record de pluie dans le Nord, placé en « vigilance sécheresse » ;Le département du Nord est placé en « vigilance sécheresse » en raison d’une « forte tension » sur la ressource en eau, due à un déficit record de pluie depuis trois mois et des températures élevées depuis février, a annoncé lundi la préfecture.
France: un Algérien jugé pour un incendie mortel dans une station de ski huppée ;L’incendie avait fait deux morts et de nombreux blessés, marquant le monde des saisonniers en montagne: un Algérien comparaît lundi devant les assises dans les Alpes françaises, accusé d’avoir volontairement mis le feu à leur résidence dans la station huppée de Courchevel.
La victoire de Retailleau met le curseur à droite pour 2027 dans la coalition présidentielle ;La large victoire de Bruno Retailleau à la tête de LR a mis le curseur à droite pour 2027 au sein de la coalition gouvernementale, ouvrant une compétition avec le favori des sondages, l’ex-Premier ministre Edouard Philippe.
« Nous parviendrons à nos fins »: en Tanzanie, le chef de l’opposition combatif devant la justice ;« Nous parviendrons à nos fins » : le chef de l’opposition tanzanienne Tundu Lissu s’est montré combatif lundi devant un tribunal de Dar es Salaam où il comparait pour « trahison » après ses critiques du système électoral, une accusation qui peut lui valoir la peine de mort.
Airbags Takata: UFC-Que choisir annonce une plainte contre BMW, Mercedes, Toyota et Volkswagen ;L’association de défense des consommateurs UFC-Que choisir a annoncé lundi qu’elle comptait déposer dans la journée une plainte contre les constructeurs automobiles BMW, Mercedes, Toyota et Volkswagen concernant leur gestion des rappels de véhicules équipés d’airbags Takata défectueux, après celle déposée en janvier contre Stellantis.
Présidentielle en Pologne: le pro-européen Trzaskowski remporte de peu le 1er tour;Le maire pro-européen de Varsovie, Rafal Trzaskowski a remporté de peu le 1er tour de l’élection présidentielle en Pologne et affrontera au deuxième tour, le 1er juin, l’historien nationaliste Karol Nawrocki, selon les résultats officies publiées lundi.
Israël va « prendre le contrôle de toute » la bande de Gaza, annonce Benjamin Netanyahu ;Benjamin Netanyahu a déclaré lundi qu’Israël allait « prendre le contrôle de toute » la bande de Gaza, où l’armée israélienne a tué 52 personnes depuis la nuit selon les secours, dans l’attente d’une reprise effective de l’aide alimentaire dans le territoire palestinien dévasté et affamé.
Paris: un SDF retrouvé mort aux Halles, une enquête pour meurtre ouverte ;Un homme sans domicile fixe a été retrouvé mort dimanche au forum des Halles à Paris (centre) et une enquête pour meurtre a été ouverte, a-t-on appris lundi de source policière et du parquet.
Accusés d’ingérence en Roumanie, les services français nient « les allégations » du fondateur de Telegram ;Les services secrets extérieurs français (DGSE) ont « réfuté avec vigueur » lundi les accusations du fondateur de la messagerie Telegram selon lequel Paris aurait tenté de peser sur l’élection présidentielle en Roumanie.
L’Europe réduit fortement ses prévisions de croissance à cause de Trump ;La Commission européenne a nettement abaissé lundi ses prévisions de croissance pour cette année et la suivante dans la zone euro, en intégrant l’impact des taxes douanières de Donald Trump sur sa santé économique déjà fragile.
Stellantis nomme Xavier Chardon à la tête de Citroën ;Xavier Chardon, ex-patron de Volkswagen France, a été nommé lundi à la tête de Citroën dans un contexte difficile pour la marque française, a annoncé le groupe automobile Stellantis dans un communiqué.
Trump veut une enquête sur le soutien de célébrités à Kamala Harris ;Donald Trump a annoncé lundi vouloir lancer une « enquête majeure » sur les soutiens reçus de la part de célébrités par son ancienne rivale Kamala Harris, dans la foulée d’échanges acrimonieux avec Bruce Springsteen.
Gaza: Israël doit empêcher une famine « pour des raisons diplomatiques » (Netanyahu) ;Le Premier ministre israélien, Benjamin Netanyahu, a expliqué lundi qu’Israël devait empêcher une famine à Gaza « pour des raisons diplomatiques », après l’annonce d’une reprise limitée de l’aide humanitaire à destination du petit territoire palestinien.
Orages: onze départements du sud-ouest placés en vigilance orange lundi après-midi ;Météo-France a annoncé le passage de onze départements du sud-ouest de la France en vigilance orange à partir de lundi après-midi en raison d’un « épisode pluvio-orageux marqué ».
Le Royaume-Uni et l’UE trouvent un accord avant leur premier sommet depuis le Brexit ;Le Royaume-Uni et l’Union européenne s’apprêtent lundi à adopter un accord visant à relancer leur relation et resserrer leurs liens en particulier dans la défense, lors d’un sommet inédit à Londres, cinq ans après le Brexit.
MSC Croisières commande deux navires au chantier naval français de Saint-Nazaire pour 3,5 mds d’euros ;L’armateur suisse MSC Croisières a confirmé lundi la commande de deux nouveaux navires aux Chantiers de l’Atlantique à Saint-Nazaire, dans l’ouest de la France, pour un investissement global d’environ 3,5 milliards d’euros.
IA, cloud et cybersécurité: Kyndryl investira 100 millions d’euros en France ;L’entreprise américaine Kyndryl, spécialisée dans la fourniture de services technologiques, investira 100 millions d’euros en France sur trois ans, notamment dans l’intelligence artificielle (IA), a-t-elle indiqué lundi à l’occasion du sommet Choose France.
Le pape a reçu le vice-président américain JD Vance ;Le pape Léon XIV a reçu lundi matin en audience au Vatican le vice-président américain JD Vance, a déclaré un porte-parole de ce dernier, au lendemain de sa participation à la messe inaugurale du souverain pontife.
Israël pilonne Gaza après l’annonce d’une reprise limitée de l’aide humanitaire ;D’intenses frappes israéliennes ont tué lundi, selon les secours, 22 personnes dans la bande de Gaza, où Israël a annoncé qu’il autoriserait une reprise limitée de l’aide humanitaire, bloquée depuis plus de deux mois.
Tanzanie: comparution du chef de l’opposition Tundu Lissu, qui risque la peine de mort ;Le chef de l’opposition tanzanienne Tundu Lissu, qui risque la peine de mort pour une affaire de trahison, a été présenté lundi devant un tribunal de Dar es Salaam, où il est apparu combatif, a constaté un correspondant de l’AFP.
L’UE et le Royaume-Uni ouvrent la voie à un accord pour relancer leurs relations (diplomates) ;Les négociateurs de l’Union européenne et du Royaume-Uni ont ouvert la voie à un accord pour relancer leur relation, à l’occasion d’un sommet lundi à Londres, inédit depuis le Brexit, ont indiqué des diplomates à Bruxelles.
Scandale des eaux minérales en France: une commission d’enquête accuse l’Etat de « dissimulation » ;Le scandale des traitements illicites des eaux minérales en France, touchant notamment le géant agroalimentaire Nestlé Waters, a fait l’objet d’une « dissimulation par l’Etat » français, jusqu’à son sommet, relevant « d’une stratégie délibérée », affirme le rapport d’une commission d’enquête sénatoriale diffusé lundi.
La banque en ligne britannique Revolut va investir un milliard d’euros en France ;La banque en ligne britannique Revolut va investir un milliard d’euros en France sur les trois prochaines années, et faire de Paris son siège pour l’Europe de l’Ouest, a annoncé la néobanque lundi à l’occasion du sommet Choose France.
L’Iran convoque le chargé d’affaires britannique après des arrestations d’Iraniens ;L’Iran a convoqué le chargé d’affaires du Royaume-Uni pour protester contre l’arrestation de plusieurs de ses ressortissants accusés notamment d’espionnage, a annoncé lundi un média d’Etat, dans un contexte de tensions diplomatiques entre les deux pays.
Scandale des eaux minérales: l’enquête sénatoriale déplore « une dissimulation » par l’Etat et des contrôles toujours défaillants ;L’affaire des traitements illicites utilisés pour certaines eaux minérales, révélée par la presse début 2024, a fait l’objet d’une « dissimulation par l’État » relevant « d’une stratégie délibérée », estime la commission d’enquête sénatoriale sur les pratiques des industriels de l’eau en bouteille.
